segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight,
43,30.126,936.1,197.15,-76.986,0,9.104285307,-0.0080096,-0.013011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,26.802,962.9,170.35,-63.5,0,8.787685307,-0.013011,-0.0095002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,14.854,977.76,151.67,-44.425,0,8.485985307,-0.0095002,-0.014314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,15.947,993.7,143.92,-31.774,0,8.309085307,-0.014314,-0.0087038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,15.212,1008.9,138.37,-16.848,0,8.125585307,-0.0087038,-0.015179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,15.317,1024.2,135.52,-1.9276,0,7.943985307,-0.015179,-0.0085639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,15.038,1039.3,135.66,13.367,0,7.762085307,-0.0085639,-0.013235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,30.444,1069.7,138.17,28.177,0,7.598185307,-0.013235,-0.010164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,16.062,1085.8,151.12,55.554,0,7.242025307,-0.010164,-0.01371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,16.435,1102.2,161.49,67.788,0,7.050295307,-0.01371,-0.0025844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,35.136,1137.3,174.21,78.177,0,6.916395307,-0.0025844,0.016775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,26.465,1163.8,200.98,100.78,0,7.165685307,0.016775,0.016711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,17.213,1181,212.79,124.22,0,7.608785307,0.016711,0.015349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,19.782,1200.8,214.59,141.28,0,7.884685307,0.015349,0.020066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,17.477,1218.3,210.72,160.58,0,8.234985307,0.020066,-0.0021682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,17.588,1235.9,202.47,175.97,0,8.391385307,-0.0021682,0.0050186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,38.024,1273.9,193.44,191.06,0,8.416485307,0.0050186,-0.013489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,17.367,1291.3,173.9,223.61,0,8.255385307,-0.013489,-0.00041745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,21.597,1312.9,168.4,240.08,0,8.134685307,-0.00041745,-0.016175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,17.838,1330.7,163.71,261.13,0,7.955485307,-0.016175,0.073438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,20.605,1351.3,159.81,278.3,0,8.466185307,0.073438,-0.0074787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,38.249,1389.6,141.91,287.6,0,9.145785307,-0.0074787,-0.022626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,42.002,1431.6,109.15,306.28,0,8.569985307,-0.022626,-0.01098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,19.958,1451.5,96.129,345.3,0,7.864285307,-0.01098,-0.0077226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,20.239,1471.8,97.89,365.15,0,7.677685307,-0.0077226,-0.011204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,19.277,1491,103.21,384.64,0,7.486085307,-0.011204,-0.0077736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
