segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight
0,47.503629,0,0,0,0,5.410765,0,0,0,0,10,60,0.3,0.3,0,369.126535,8,1.41E+11,0,0,0,1,1
1,28.708726,47.503629,30.54363,-36.38243,0,5.410765,0,-0.031433,0,0,10,60,0.3,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
2,70.453904,76.212355,45.37117,-60.66278,0,4.959563,-0.031433,-0.031433,0,0,10,60,0.3,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
3,28.708726,146.666259,2.23493,-97.79047,0,2.744978,-0.031433,0,0,0,10,60,0.3,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
4,47.503622,175.374985,-19.56659,-79.51267,0,2.293776,0,0,0,0,10,60,0.3,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
5,48.74931,222.878606,-50.99602,-43.89266,0,2.293776,0,-0.032474,0,0,10,60,0.3,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
6,48.74931,271.627916,-72.06489,-1.42664,0,1.502227,-0.032474,-0.032474,0,0,10,60,0.3,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
7,48.74931,320.377226,-38.85603,27.15648,0,-0.080871,-0.032474,0,0,0,10,60,0.3,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
